date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:17:35	12566/12566	---M--	200	added ('OK')	text/html	etag:%222672c4-3116-4579092d23740%22	http://www.cs.colorado.edu/~main/bgi/doc/	C:/Users/Admin/Desktop/C%20Lab%20Graphics%20(BGI)/BGI%20Tutorial/www.cs.colorado.edu/_main/bgi/doc/index.html	(from )
21:17:35	348/348	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Oct%202015%2004:17:35%20GMT	http://www.cs.colorado.edu/robots.txt		(from )
21:17:36	13964/-1	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Oct%202015%2004:17:36%20GMT	http://www.cs.colorado.edu/~main/bgi/doc/bgi.html	C:/Users/Admin/Desktop/C%20Lab%20Graphics%20(BGI)/BGI%20Tutorial/www.cs.colorado.edu/_main/bgi/doc/bgi.html	(from http://www.cs.colorado.edu/~main/bgi/doc/)
21:17:36	937/937	---M--	200	added ('OK')	image/gif	etag:%222672fa-3a9-45790944faf80%22	http://www.cs.colorado.edu/~main/bgi/doc/win.gif	C:/Users/Admin/Desktop/C%20Lab%20Graphics%20(BGI)/BGI%20Tutorial/www.cs.colorado.edu/_main/bgi/doc/win.gif	(from http://www.cs.colorado.edu/~main/bgi/doc/)
21:17:37	2465/2465	---M--	200	added ('OK')	text/html	etag:%222672fb-9a1-45790944faf80%22	http://www.cs.colorado.edu/~main/bgi/doc/wincolor.html	C:/Users/Admin/Desktop/C%20Lab%20Graphics%20(BGI)/BGI%20Tutorial/www.cs.colorado.edu/_main/bgi/doc/wincolor.html	(from http://www.cs.colorado.edu/~main/bgi/doc/)
21:17:37	2690/2690	---M--	200	added ('OK')	text/html	etag:%22267268-a82-457909126f840%22	http://www.cs.colorado.edu/~main/bgi/doc/arc.html	C:/Users/Admin/Desktop/C%20Lab%20Graphics%20(BGI)/BGI%20Tutorial/www.cs.colorado.edu/_main/bgi/doc/arc.html	(from http://www.cs.colorado.edu/~main/bgi/doc/)
21:17:38	2136/2136	---M--	200	added ('OK')	text/html	etag:%22267269-858-457909126f840%22	http://www.cs.colorado.edu/~main/bgi/doc/bar.html	C:/Users/Admin/Desktop/C%20Lab%20Graphics%20(BGI)/BGI%20Tutorial/www.cs.colorado.edu/_main/bgi/doc/bar.html	(from http://www.cs.colorado.edu/~main/bgi/doc/)
21:17:38	2549/2549	---M--	200	added ('OK')	text/html	etag:%2226726a-9f5-457909126f840%22	http://www.cs.colorado.edu/~main/bgi/doc/bar3d.html	C:/Users/Admin/Desktop/C%20Lab%20Graphics%20(BGI)/BGI%20Tutorial/www.cs.colorado.edu/_main/bgi/doc/bar3d.html	(from http://www.cs.colorado.edu/~main/bgi/doc/)
21:17:38	1756/1756	---M--	200	added ('OK')	text/html	etag:%22267270-6dc-4579091734380%22	http://www.cs.colorado.edu/~main/bgi/doc/bgiout.html	C:/Users/Admin/Desktop/C%20Lab%20Graphics%20(BGI)/BGI%20Tutorial/www.cs.colorado.edu/_main/bgi/doc/bgiout.html	(from http://www.cs.colorado.edu/~main/bgi/doc/)
21:17:39	1960/1960	---M--	200	added ('OK')	text/html	etag:%22267271-7a8-4579091734380%22	http://www.cs.colorado.edu/~main/bgi/doc/circle.html	C:/Users/Admin/Desktop/C%20Lab%20Graphics%20(BGI)/BGI%20Tutorial/www.cs.colorado.edu/_main/bgi/doc/circle.html	(from http://www.cs.colorado.edu/~main/bgi/doc/)
21:17:39	1869/1869	---M--	200	added ('OK')	text/html	etag:%22267272-74d-457909154bf00%22	http://www.cs.colorado.edu/~main/bgi/doc/cleardevice.html	C:/Users/Admin/Desktop/C%20Lab%20Graphics%20(BGI)/BGI%20Tutorial/www.cs.colorado.edu/_main/bgi/doc/cleardevice.html	(from http://www.cs.colorado.edu/~main/bgi/doc/)
21:17:40	3693/3693	---M--	200	added ('OK')	text/html	etag:%22267273-e6d-45790918285c0%22	http://www.cs.colorado.edu/~main/bgi/doc/clearmouseclick.html	C:/Users/Admin/Desktop/C%20Lab%20Graphics%20(BGI)/BGI%20Tutorial/www.cs.colorado.edu/_main/bgi/doc/clearmouseclick.html	(from http://www.cs.colorado.edu/~main/bgi/doc/)
21:17:40	2136/2136	---M--	200	added ('OK')	text/html	etag:%22267274-858-45790918285c0%22	http://www.cs.colorado.edu/~main/bgi/doc/clearviewport.html	C:/Users/Admin/Desktop/C%20Lab%20Graphics%20(BGI)/BGI%20Tutorial/www.cs.colorado.edu/_main/bgi/doc/clearviewport.html	(from http://www.cs.colorado.edu/~main/bgi/doc/)
